OBJECTID,SITEREF,BOUNDNUM,OBJID,SITESORT,BOUNDREF,SITEALIAS,SITEADDRESS,SITEYRDESCRIPTION,SUITTYPE,SITEYRSUITCOMMENTS,AVLTYPE,SITEYRAVLBTYCOMMENTS,ACHTYPE,SITEYRACHCOMMENTS,SAPSTATUS,SAPREF,TOTALSHT,TOTALMED,TOTALLNG,TOTALIPP,TOTALOPP,SHLTOT,YR19_20,YR20_21,YR21_22,YR22_23,YR23_24,YR24_25,YR25_26,YR26_27,YR27_28,YR28_29,YR29_30,YR30_31,YR31_32,YR32_33,YR33_34,YR34_35,YR35_36,LCCOWN,SHLVERSIONREF,SHLAAYEAR,SHLAAYRVERSION,HMCAMAX,WARDMAX,Shape__Area,Shape__Length,SAPCAP
22,SHL00618,SHL006181,265,1241,SHL006181,1241,"Land At Walton Road, Thorp Arch, LS22","Agricultural greenfield site along Walton Road with village of Walton to the North and Thorp Arch to the South. The Leeds United training ground is to the Northern Boundary, Rudgate prison to the East and a dis-used railway/new cycle path to the West/South.",LDF to determine,Site not adopted within the Site Allocations Plan for housing in the current plan period. Suitability of the location will be considered as part of a future review of the Site Allocations Plan if new sites are required to meet up-to-date housing needs.,Beyond 2033,Site submitted to the SHLAA process as available for development.,Beyond 2033,The site is recorded in the 2023 SHLAA update as available with the assessment of delivery beyond the plan period to that reflect the suitability of the location as at 1 April 2023.  The delivery of the site is dependent upon any future assessment on the policy status of the location to meet up-to-date housing needs that will be taken into account as part of SHLAA assessments and Leeds Local Plan 2040.,Not allocated for housing,,0,0,0,0,233,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,Beyond 2033,2024,1,Outer North East,Wetherby,0,0,233
27,SHL00950,SHL009501,468,3111,SHL009501,3111,"Moorhouse Farm, Wakefield Road, Garforth, LS25 1as","The boundaries do not relate to existing features, cutting across open fields and a hedgerow.  The south western part of the site contains a series of building, greenhouses, and ponds relating to a water plant and pond supply business.  There are fields and farm buildings beyond.",LDF to determine,Site not adopted within the Site Allocations Plan for housing in the current plan period. Suitability of the location will be considered as part of a future review of the Site Allocations Plan if new sites are required to meet up-to-date housing needs.,Beyond 2033,Site submitted to the SHLAA process as available for development.,Beyond 2033,The site is recorded in the 2023 SHLAA update as available with the assessment of delivery beyond the plan period to that reflect the suitability of the location as at 1 April 2023.  The delivery of the site is dependent upon any future assessment on the policy status of the location to meet up-to-date housing needs that will be taken into account as part of SHLAA assessments and Leeds Local Plan 2040.,Not allocated for housing,,0,0,0,0,153,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,Beyond 2033,2024,1,East Leeds,Garforth & Swillington,0,0,153
28,SHL00759,SHL007592,349,2022,SHL007592,2022,Clarence Road and Carlisle Road,"Storage building with car park to the south of Clarence Dock.  Site bounded by Armouries Way to the north, Clarence Road to the east and Carlisle Road to the south.  The site wraps around car workshop SHLAA site 215.",Suitable,Site adopted as a mixed use including housing allocation in AVLAAP under AV12 as suitable for residential development.  Location is consistent with the Settlement Hierarchy approach set out in the adopted Core Strategy (as amended 2019) as part of Spatial Policy 1 and contributes to the planned distribution of housing land in Spatial Policy 7.,Medium (6-10yrs),"The site was allocated for mixed use including housing in the Aire Valley Leeds Area Action Plan on 8 November 2017 as available for delivery in the plan period.  The Council takes a proactive approach to land availability and has contacted landowners, agents and developers to confirm the availability of sites as part of the annual assessment for all sites.",Medium (6-10yrs),The site was allocated for mixed use including housing in the Aire Valley Leeds Area Action Plan on 8 November 2017 as a deliverable site within the plan period.,Mixed use allocation,AV12,0,114,0,114,0,114,0,0,0,0,0,0,0,0,0,0,0,50,50,14,0,0,0,62,Allocated without planning permission,2024,1,City Centre,Hunslet & Riverside,0,0,114
29,SHL00125,SHL001251,53,285,SHL001251,285,"Former Garage Site, Macaulay Street, Burmantofts,",Site is partially occupied but under-developed. Some residential to the East and South east of the site. Also adjacent to a light industral area to the west.,LDF to determine,Site not adopted within the Site Allocations Plan for housing in the current plan period. Suitability of the location will be considered as part of a future review of the Site Allocations Plan if new sites are required to meet up-to-date housing needs.,Beyond 2033,Site submitted to the SHLAA process as available for development.,Beyond 2033,The site is recorded in the 2023 SHLAA update as available with the assessment of delivery beyond the plan period to that reflect the suitability of the location as at 1 April 2023.  The delivery of the site is dependent upon any future assessment on the policy status of the location to meet up-to-date housing needs that will be taken into account as part of SHLAA assessments and Leeds Local Plan 2040.,Not allocated for housing,xHG2-102,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,Beyond 2033,2024,1,Inner Area,Burmantofts & Richmond Hill,0,0,24
33,SHL00798,SHL007981,374,2075,SHL007981,2075,"Park Spring Primary School, Swinnow, LS19",The site comprises of an area of semi-mature woodland to the immediate west of Park Spring Primary School. The site was formerly used for land fill.,LDF to determine,Site not adopted within the development plan for housing in the current plan period. Suitability of the location will be considered as part of a future review of the Site Allocations Plan if new sites are required to meet up-to-date housing needs.,Beyond 2033,Site submitted to the SHLAA process as potentially available for longer-term development.,Beyond 2033,The site is recorded in the 2019 SHLAA update as available with the assessment of delivery beyond the plan period to reflect the suitability of the location as at 1 April 2019.  The delivery of the site is dependent upon any future assessment on the policy status of the location to meet up-to-date housing needs that will be taken into account as part of future SHLAA assessments.,Not adopted,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,Beyond 2033,2024,1,Outer West,Pudsey,0,0,
34,SHL00725,SHL007251,326,1358,SHL007251,1358,"Midgley Farm, Otley",Agricultural Land in the Green Belt to the east of Otley.,LDF to determine,Site not adopted within the Site Allocations Plan for housing in the current plan period. Suitability of the location will be considered as part of a future review of the Site Allocations Plan if new sites are required to meet up-to-date housing needs.,Beyond 2033,Site submitted to the SHLAA process as available for development.,Beyond 2033,The site is recorded in the 2023 SHLAA update as available with the assessment of delivery beyond the plan period to that reflect the suitability of the location as at 1 April 2023.  The delivery of the site is dependent upon any future assessment on the policy status of the location to meet up-to-date housing needs that will be taken into account as part of SHLAA assessments and Leeds Local Plan 2040.,Not allocated for housing,,0,0,0,0,668,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,0,0,0,Beyond 2033,2024,1,Outer North West,Otley & Yeadon,0,0,668
35,SHL01674,SHL016741,863,1284.1,SHL016741,1284A_4211,"Albert Drive, Morley","Partially geenfield site in agriculturual use, and mainly site is split between a storage depot and workshop uses with a small amount of office space.",LDF to determine,"Green Belt site released as part of the adoption of the Site Allocations Plan under HG2-153 on 10th July 2019.  Post adoption, Green Belt releases were the subject of a Legal Challenge submitted to the High Court on 20 August 2019. The case was heard at the High Court in February 2020 with Judgment being handed down on 8 June 2020. The High Court ordered relief.  The effect of this relief is that allocated sites that immediately before the adoption of the SAP were in the Green Belt including this site be remitted back to the Secretary of State and the Planning Inspectorate for further examination",Beyond 2033,Site was submitted to the SHLAA process and progressed as part of the Site Allocations Plan as available for development.,Beyond 2033,The delivery of the site is dependent upon the re-examination of the policy status of the location.  Any future delivery is dependent upon the requirement for Green Belt sites be released to meet up-to-date housing needs taking into account the current land supply picture as part of SHLAA assessments.,Remitted to Secretary of State,HG2-153,0,0,0,0,121,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,Beyond 2033,2024,1,Outer South West,Morley South,0,0,121
36,SHL01648,SHL016481,850,1260.2,SHL016481,1260B,"Batley Road (Land to north and south of), Tingley, Wakefield WF3 1HA",Greenfield agricultural site with access road running through the middle of the site and farm builidngs. Majority of site is open farm fields.,LDF to determine,Site not adopted within the Site Allocations Plan for housing in the current plan period. Suitability of the location will be considered as part of a future review of the Site Allocations Plan if new sites are required to meet up-to-date housing needs.,Beyond 2033,Site submitted to the SHLAA process as available for development.,Beyond 2033,The site is recorded in the 2023 SHLAA update as available with the assessment of delivery beyond the plan period to that reflect the suitability of the location as at 1 April 2023.  The delivery of the site is dependent upon any future assessment on the policy status of the location to meet up-to-date housing needs that will be taken into account as part of SHLAA assessments and Leeds Local Plan 2040.,Not allocated for housing,,0,0,0,0,1221,1221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1221,0,0,0,Beyond 2033,2024,1,Outer South West,Ardsley & Robin Hood,0,0,1221
37,SHL01341,SHL013411,659,4214,SHL013411,4214,"Aire Vire Court, Rodley Lane, Rodley, Leeds, LS13 1aa",Brownfield site. Current employment use set within the main urban area. No other constraints.,LDF to determine,Site not adopted within the Site Allocations Plan for housing in the current plan period. Suitability of the location will be considered as part of a future review of the Site Allocations Plan if new sites are required to meet up-to-date housing needs.,Beyond 2033,Site submitted to the SHLAA process as available for development.,Beyond 2033,The site is recorded in the 2023 SHLAA update as available with the assessment of delivery beyond the plan period to that reflect the suitability of the location as at 1 April 2023.  The delivery of the site is dependent upon any future assessment on the policy status of the location to meet up-to-date housing needs that will be taken into account as part of SHLAA assessments and Leeds Local Plan 2040.,Not allocated for housing,,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,Beyond 2033,2024,1,Outer West,Bramley & Stanningley,0,0,16
39,SHL01196,SHL011961,569,3464,SHL011961,3464,"Land Off Tyersal Court, Tyersal Bd4 8","Greenfield site off Tyersal Drive, Tyersal, Bradford. Tyersal primary school borders the site to the east. Housing to the north and west, countryside to the south and east.",LDF to determine,"Green Belt site released as part of the adoption of the Site Allocations Plan under HG2-72 on 10th July 2019.  Post adoption, Green Belt releases were the subject of a Legal Challenge submitted to the High Court on 20 August 2019. The case was heard at the High Court in February 2020 with Judgment being handed down on 8 June 2020. The High Court ordered relief.  The effect of this relief is that allocated sites that immediately before the adoption of the SAP were in the Green Belt including this site be remitted back to the Secretary of State and the Planning Inspectorate for further examination",Beyond 2033,Site was submitted to the SHLAA process and progressed as part of the Site Allocations Plan as available for development.,Beyond 2033,The delivery of the site is dependent upon the re-examination of the policy status of the location.  Any future delivery is dependent upon the requirement for Green Belt sites be released to meet up-to-date housing needs taking into account the current land supply picture as part of SHLAA assessments.,Remitted to Secretary of State,HG2-72,0,0,0,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,Beyond 2033,2024,1,Outer West,Pudsey,0,0,46
42,SHL00920,SHL009201,447,3061,SHL009201,3061,"Cricket Hill Brow, Gelderd Road, Gildersome, Morley, LS27 7ls",Poorly defined greenfield site currently in agricultural use.,LDF to determine,Site not adopted within the Site Allocations Plan for housing in the current plan period. Suitability of the location will be considered as part of a future review of the Site Allocations Plan if new sites are required to meet up-to-date housing needs.,Beyond 2033,Site submitted to the SHLAA process as available for development.,Beyond 2033,The site is recorded in the 2023 SHLAA update as available with the assessment of delivery beyond the plan period to that reflect the suitability of the location as at 1 April 2023.  The delivery of the site is dependent upon any future assessment on the policy status of the location to meet up-to-date housing needs that will be taken into account as part of SHLAA assessments and Leeds Local Plan 2040.,Not allocated for housing,,0,0,0,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,Beyond 2033,2024,1,Outer South West,Morley North,0,0,62
43,SHL00620,SHL006201,267,1243,SHL006201,1243,"Former Rectory Paddock, Back Church Lane, Adel , LS16","Small paddock on junction of Back Church Lane and Long Causeway, which both have a road frontage with the site. Site slopes down towards the junction. Trees straddle the site boundary.",LDF to determine,Site not adopted within the Site Allocations Plan for housing in the current plan period. Suitability of the location will be considered as part of a future review of the Site Allocations Plan if new sites are required to meet up-to-date housing needs.,Beyond 2033,Site submitted to the SHLAA process as available for development.,Beyond 2033,The site is recorded in the 2023 SHLAA update as available with the assessment of delivery beyond the plan period to that reflect the suitability of the location as at 1 April 2023.  The delivery of the site is dependent upon any future assessment on the policy status of the location to meet up-to-date housing needs that will be taken into account as part of SHLAA assessments and Leeds Local Plan 2040.,Not allocated for housing,,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,Beyond 2033,2024,1,North Leeds,Adel & Wharfedale,0,0,18
45,SHL00735,SHL007351,330,1368,SHL007351,1368,Land South Of Rakehill Road Barwick In Elmet,"Sloping agricultural field which lies to the north-west edge of Barwick. The site contains a storage/agricultural building in the northern corner.The site is surrounded by agricultural fields to the north and west, with residential development directly to the south. A scheduled ancient monument is present adjacent to the east boundary of the site, which is screened by a mature tree line. Rakehill Road narrows significantly adjacent to the site to a single lane track",LDF to determine,Site not adopted within the Site Allocations Plan for housing in the current plan period. Suitability of the location will be considered as part of a future review of the Site Allocations Plan if new sites are required to meet up-to-date housing needs.,Beyond 2033,Site submitted to the SHLAA process as available for development.,Beyond 2033,The site is recorded in the 2023 SHLAA update as available with the assessment of delivery beyond the plan period to that reflect the suitability of the location as at 1 April 2023.  The delivery of the site is dependent upon any future assessment on the policy status of the location to meet up-to-date housing needs that will be taken into account as part of SHLAA assessments and Leeds Local Plan 2040.,Not allocated for housing,,0,0,0,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,Beyond 2033,2024,1,Outer North East,Harewood,0,0,71
46,SHL00399,SHL003991,145,1020,SHL003991,1020,Rear Of 39 Clarendon Road/ Kendal Lane Leeds LS2,Comprises of the outbuilding/garage at the bottom of the garden to 39 Clarendon Road.  It faces on to Kendall Lane.,LDF to determine,Site not adopted within the Site Allocations Plan for housing in the current plan period. Suitability of the location will be considered as part of a future review of the Site Allocations Plan if new sites are required to meet up-to-date housing needs.,Beyond 2033,Site submitted to the SHLAA process as available for development.,Beyond 2033,The site is recorded in the 2023 SHLAA update as available with the assessment of delivery beyond the plan period to that reflect the suitability of the location as at 1 April 2023.  The delivery of the site is dependent upon any future assessment on the policy status of the location to meet up-to-date housing needs that will be taken into account as part of SHLAA assessments and Leeds Local Plan 2040.,Not allocated for housing,,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Beyond 2033,2024,1,City Centre,Little London & Woodhouse,0,0,2
47,SHL01205,SHL012051,576,4015,SHL012051,4015,"Land At 3 Scarcroft View, Brandon Lane, Shadwell, LS17 9jj",Heavily wooded site. Site is located between Shadwell and Scarcroft. Brandon Lane runs to the North East of the site.,LDF to determine,Site not adopted within the development plan for housing in the current plan period. Suitability of the location will be considered as part of a future review of the Site Allocations Plan if new sites are required to meet up-to-date housing needs.,Beyond 2033,Site submitted to the SHLAA process as potentially available for longer-term development.,Beyond 2033,The site is recorded in the 2019 SHLAA update as available with the assessment of delivery beyond the plan period to reflect the suitability of the location as at 1 April 2019.  The delivery of the site is dependent upon any future assessment on the policy status of the location to meet up-to-date housing needs that will be taken into account as part of future SHLAA assessments.,Not adopted,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beyond 2033,2024,1,Outer North East,Harewood,0,0,
50,SHL00973,SHL009731,487,3134,SHL009731,3134,"Land To East Of Woodacre Lane, Bardsey, LS17 9df","A large greenfield site currently in agricultural use. The site slopes signficantly down towards the beck and mature tree line to the east. A primary school lies to the west of the site with the Motte and Bailey, Castle Hill Ancient Monument to the south. A small UDP housing allocation (with extant planning permission for residential development), lies to the north of the site alongside an open field. The surrounding road network is generally narrow.",LDF to determine,Site not adopted within the Site Allocations Plan for housing in the current plan period. Suitability of the location will be considered as part of a future review of the Site Allocations Plan if new sites are required to meet up-to-date housing needs.,Beyond 2033,Site submitted to the SHLAA process as available for development.,Beyond 2033,The site is recorded in the 2023 SHLAA update as available with the assessment of delivery beyond the plan period to that reflect the suitability of the location as at 1 April 2023.  The delivery of the site is dependent upon any future assessment on the policy status of the location to meet up-to-date housing needs that will be taken into account as part of SHLAA assessments and Leeds Local Plan 2040.,Not allocated for housing,,0,0,0,0,205,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,Beyond 2033,2024,1,Outer North East,Harewood,0,0,205
52,SHL00892,SHL008921,425,3016,SHL008921,3016,"Low Hall Farm, Low Hall Road, Horsforth, LS18 8","Listed buildings of Low Hall Farm, forming u- shape around Woodbottom Cottage. Attractive rural setting",LDF to determine,Site not adopted within the Site Allocations Plan for housing in the current plan period. Suitability of the location will be considered as part of a future review of the Site Allocations Plan if new sites are required to meet up-to-date housing needs.,Beyond 2033,Site submitted to the SHLAA process as available for development.,Beyond 2033,The site is recorded in the 2023 SHLAA update as available with the assessment of delivery beyond the plan period to that reflect the suitability of the location as at 1 April 2023.  The delivery of the site is dependent upon any future assessment on the policy status of the location to meet up-to-date housing needs that will be taken into account as part of SHLAA assessments and Leeds Local Plan 2040.,Not allocated for housing,,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,Beyond 2033,2024,1,North Leeds,Horsforth,0,0,15
53,SHL00840,SHL008401,395,2125,SHL008401,2125,"Manor House Farm, Churwell","Narrow greenfield site located to the north west of the Churwell urban area. Approximately 25% of the site is made up by half an allotment gardens site (which is not designated under Policy N1A of the UDP) with the rest of the site scrubland. The site is bounded by existing housing to the south east and north east, open space to the south west and scrubland to the north west, and beyond that the M621 motorway.",LDF to determine,Site not adopted within the Site Allocations Plan for housing in the current plan period. Suitability of the location will be considered as part of a future review of the Site Allocations Plan if new sites are required to meet up-to-date housing needs.,Beyond 2033,Site submitted to the SHLAA process as available for development.,Beyond 2033,The site is recorded in the 2023 SHLAA update as available with the assessment of delivery beyond the plan period to that reflect the suitability of the location as at 1 April 2023.  The delivery of the site is dependent upon any future assessment on the policy status of the location to meet up-to-date housing needs that will be taken into account as part of SHLAA assessments and Leeds Local Plan 2040.,Safeguarded land (PAS),HG3-22,0,0,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,Beyond 2033,2024,1,Outer South West,Morley North,0,0,80
